"split","sample_id","state","county","centroid","correlation","days_between","path"
"test","NA5120_E1808N0501__m_3008722_nw_16_060_20220130","Florida","Escambia","POINT (-87.325232 30.725377)","0.8805589290119172","1","data/test/NA5120_E1808N0501__m_3008722_nw_16_060_20220130.npz"
"test","NA5120_E1848N0489__m_2908506_sw_16_060_20191118","Florida","Gulf","POINT (-85.339757 29.923025)","0.8738926082662425","0","data/test/NA5120_E1848N0489__m_2908506_sw_16_060_20191118.npz"
"test","NA5120_E1906N0454__m_2708203_se_17_060_20191111","Florida","Pinellas","POINT (-82.671247 27.891576)","0.9083662489597358","1","data/test/NA5120_E1906N0454__m_2708203_se_17_060_20191111.npz"
"test","NA5120_E1906N0477__m_2808205_nw_17_060_20191120","Florida","Citrus","POINT (-82.484909 28.931635)","0.8945009721146285","0","data/test/NA5120_E1906N0477__m_2808205_nw_17_060_20191120.npz"
"test","NA5120_E1906N0477__m_2808205_nw_17_060_20211130","Florida","Citrus","POINT (-82.484909 28.931635)","0.870539352722304","1","data/test/NA5120_E1906N0477__m_2808205_nw_17_060_20211130.npz"
"test","NA5120_E1909N0465__m_2808245_ne_17_060_20211130","Florida","Pasco","POINT (-82.432911 28.363767)","0.8757762923657405","1","data/test/NA5120_E1909N0465__m_2808245_ne_17_060_20211130.npz"
"test","NA5120_E1909N0476__m_2808214_nw_17_060_20191120","Florida","Citrus","POINT (-82.342228 28.860879)","0.907965231153959","0","data/test/NA5120_E1909N0476__m_2808214_nw_17_060_20191120.npz"
"test","NA5120_E1910N0447__m_2708228_se_17_060_20211130","Florida","Manatee","POINT (-82.528282 27.541477)","0.9318425416163442","1","data/test/NA5120_E1910N0447__m_2708228_se_17_060_20211130.npz"
"test","NA5120_E1911N0459__m_2808261_ne_17_060_20191120","Florida","Hillsborough","POINT (-82.381984 28.075574)","0.9013307182481792","0","data/test/NA5120_E1911N0459__m_2808261_ne_17_060_20191120.npz"
"test","NA5120_E1912N0462__m_2808254_ne_17_060_20211130","Florida","Pasco","POINT (-82.307588 28.202626)","0.8932549199430198","1","data/test/NA5120_E1912N0462__m_2808254_ne_17_060_20211130.npz"
"test","NA5120_E1914N0452__m_2708222_ne_17_060_20191129","Florida","Hillsborough","POINT (-82.289676 27.73364)","0.9363059685888204","-1","data/test/NA5120_E1914N0452__m_2708222_ne_17_060_20191129.npz"
"test","NA5120_E1920N0478__m_2808110_ne_17_060_20191130","Florida","Lake","POINT (-81.772384 28.855258)","0.8659137185069373","0","data/test/NA5120_E1920N0478__m_2808110_ne_17_060_20191130.npz"
"test","NA5120_E1921N0503__m_2908104_ne_17_060_20211129","Florida","St. Johns","POINT (-81.501367 29.973219)","0.8747207349714375","0","data/test/NA5120_E1921N0503__m_2908104_ne_17_060_20211129.npz"
"test","NA5120_E1930N0430__m_2608127_ne_17_060_20211223","Florida","Lee","POINT (-81.680678 26.601192)","0.914908609610076","-1","data/test/NA5120_E1930N0430__m_2608127_ne_17_060_20211223.npz"
"test","NA5120_E1933N0424__m_2608144_sw_17_060_20211223","Florida","Collier","POINT (-81.583334 26.303922)","0.8995233047547624","-1","data/test/NA5120_E1933N0424__m_2608144_sw_17_060_20211223.npz"
"test","NA5120_E1933N0485__m_2908164_se_17_060_20191129","Florida","Volusia","POINT (-81.057222 29.052568)","0.9478685064728368","-1","data/test/NA5120_E1933N0485__m_2908164_se_17_060_20191129.npz"
"test","NA5120_E1934N0486__m_2908164_ne_17_060_20211130","Florida","Volusia","POINT (-80.997867 29.088261)","0.8973608535127505","1","data/test/NA5120_E1934N0486__m_2908164_ne_17_060_20211130.npz"
"test","NA5120_E1943N0474__m_2808035_ne_17_060_20220114","Florida","Brevard","POINT (-80.65658 28.463999)","0.9113784939091696","-1","data/test/NA5120_E1943N0474__m_2808035_ne_17_060_20220114.npz"
"test","NA5120_E1944N0436__m_2608017_nw_17_060_20191203","Florida","Hendry","POINT (-80.944691 26.745165)","0.9370091418548696","1","data/test/NA5120_E1944N0436__m_2608017_nw_17_060_20191203.npz"
"test","NA5120_E1947N0412__m_2508124_se_17_060_20191126","Florida","Monroe","POINT (-81.002614 25.636781)","0.9589205259365894","1","data/test/NA5120_E1947N0412__m_2508124_se_17_060_20191126.npz"
"train","NA5120_E1213N0865__m_4412309_se_10_060_20200713","Oregon","Lincoln","POINT (-123.881287 44.782249)","0.9068913031578044","-1","data/train/NA5120_E1213N0865__m_4412309_se_10_060_20200713.npz"
"train","NA5120_E1235N0872__m_4512235_sw_10_030_20220711","Oregon","Clackamas","POINT (-122.682928 45.423088)","0.8868111330001732","0","data/train/NA5120_E1235N0872__m_4512235_sw_10_030_20220711.npz"
"train","NA5120_E1235N0881__m_4512209_ne_10_060_20200719","Oregon","Columbia","POINT (-122.872442 45.809069)","0.9036336056424144","0","data/train/NA5120_E1235N0881__m_4512209_ne_10_060_20200719.npz"
"train","NA5120_E1236N0887__m_4612257_nw_10_060_20191010","Oregon","Columbia","POINT (-122.938348 46.08149)","0.8735634429741598","0","data/train/NA5120_E1236N0887__m_4612257_nw_10_060_20191010.npz"
"train","NA5120_E1239N0803__m_4212132_sw_10_030_20220723","Oregon","Klamath","POINT (-121.099559 42.503869)","0.8903014508830535","0","data/train/NA5120_E1239N0803__m_4212132_sw_10_030_20220723.npz"
"train","NA5120_E1244N0822__m_4312139_se_10_030_20220901","Oregon","Lake","POINT (-121.150108 43.398405)","0.913505729473642","0","data/train/NA5120_E1244N0822__m_4312139_se_10_030_20220901.npz"
"train","NA5120_E1250N0855__m_4412105_se_10_030_20220824","Oregon","Wasco","POINT (-121.414936 44.912823)","0.9470571281846124","-1","data/train/NA5120_E1250N0855__m_4412105_se_10_030_20220824.npz"
"train","NA5120_E1282N0799__m_4211805_sw_11_060_20200807","Oregon","Harney","POINT (-118.465095 42.902776)","0.9010788629194498","0","data/train/NA5120_E1282N0799__m_4211805_sw_11_060_20200807.npz"
"train","NA5120_E1296N0855__m_4511828_se_11_030_20220823","Oregon","Umatilla","POINT (-118.552669 45.53872)","0.929826199770939","1","data/train/NA5120_E1296N0855__m_4511828_se_11_030_20220823.npz"
"train","NA5120_E1299N0809__m_4311728_sw_11_060_20200809","Oregon","Malheur","POINT (-117.596552 43.552846)","0.92164922734709","0","data/train/NA5120_E1299N0809__m_4311728_sw_11_060_20200809.npz"
"train","NA5120_E1303N0830__m_4411727_sw_11_060_20200805","Oregon","Baker","POINT (-117.690262 44.527162)","0.9031447617404306","1","data/train/NA5120_E1303N0830__m_4411727_sw_11_060_20200805.npz"
"train","NA5120_E1304N0845__m_4511749_ne_11_060_20200805","Oregon","Union","POINT (-117.877791 45.199944)","0.9134776579598606","1","data/train/NA5120_E1304N0845__m_4511749_ne_11_060_20200805.npz"
"train","NA5120_E1317N0849__m_4511731_se_11_060_20200725","Oregon","Wallowa","POINT (-117.125894 45.534177)","0.9445408944644076","0","data/train/NA5120_E1317N0849__m_4511731_se_11_060_20200725.npz"
"train","NA5120_E1318N0551__m_3211354_nw_12_060_20211114","Arizona","Yuma","POINT (-113.343276 32.240632)","0.9225836478448513","1","data/train/NA5120_E1318N0551__m_3211354_nw_12_060_20211114.npz"
"train","NA5120_E1319N0856__m_4511715_ne_11_060_20200725","Oregon","Wallowa","POINT (-117.114575 45.867072)","0.9139523544395756","0","data/train/NA5120_E1319N0856__m_4511715_ne_11_060_20200725.npz"
"train","NA5120_E1332N0545__m_3211260_ne_12_060_20211113","Arizona","Pima","POINT (-112.555643 32.094212)","0.9393618679468506","0","data/train/NA5120_E1332N0545__m_3211260_ne_12_060_20211113.npz"
